case_id,priority,difficulty_level,title,clue_id,clue,case_content,solution,tutorial_webdoc,tutorial_video
10,0,0,Movement Speed,,,You may also find that increasing the movement speed of your machine can also reduce the amount of time that the extruder can ooze when moving between parts.,"The X/Y Axis Movement Speed represents the side-to-side travel speed, and is frequently directly related to the amount of time your extruder spends moving over open air. If your machine can handle moving at higher speeds, you may find that increasing this settings can also reduce stringing between parts.",https://3dprintscape.com/cura-speed/,
11,1,0,,0,My printer has bowden extruder.,Travel speed,"Try getting your travel speed to 150 or higher, also configure linear advance. It’s very useful on a bowden setup",https://3dprintscape.com/cura-speed/,
12,1,1,Larger nozzle diameter,9,I use PETG and 0.8mm nozzle.,Need a nozzle with smaller diameter,I'm thinking that a 0.8mm nozzle with petg on a print that small is going to have stringing no matter what you do. Just the wrong combo. A 0.8mm nozzle is going to be leakier than a sieve with PETG. Try different material other than PETG or use different nozzle with the lower size.,,https://www.youtube.com/watch?v=VrqZgU8G3rQ
13,1,0,Z-hop,10,I turned on Z hop when slicing.,Turn Z hop off,Turn Z hop off. It's a plague on stringing.,https://github.com/Ultimaker/Cura/issues/7108,
14,1,0,Outer wall wipe distance,,,Enable outer wall wipe distance,"Enable outer wall wipe distance for half of your nozzle diameter (0.2mm if you have a 0.4mm nozzle). In the Cura guide: ""With this setting, at the end of every outer wall, the nozzle will travel slightly further without extrusion, wiping the contour closed."" The recommended value is 0.2~0.4mm",https://community.ultimaker.com/topic/35891-outer-wall-wipe-distance/,
15,1,0,Temperature tower,,,Finding the optimal extruder temperature: Temperature tower,Try a temp tower to see what temps work best for your filament.,https://www.thingiverse.com/thing:2729076,
16,1,0,Excessive extrusion amount,,,Excessive extrusion amount,"Sometimes, stringing may be an extrusion problem. If you are laying down too much plastic, then a little bit might build up, especially on small layer that are solid infill. When this happens, a bit of plastic might cling to the extruder and get dragged across during travel moves. Try decreasing your extrusion ratio / flow percentage, and see if there is any effect.",https://3dprintbeginner.com/flow-rate-calibration/,
17,1,0,Coasting,,,Turn on Coasting,Turn on coasting in Cura when slicing.,https://all3dp.com/2/cura-coasting-settings-explained/,
18,1,1,Ptfe tube not properly in a hot end,,,Ptfe tube not properly in a hot end,"Check if the ptfe tube is fully in the hot end. Try taking off the ptfe tube and nozzle and stick something through the nozzle hole to push out any excess filament out of the hot end, and then put the nozzle back on and push the ptfe tube as far down as you can. Sometimes if there's residue in the hot end the ptfe tube will stop before it reaches the nozzle and then when you heat it back up it'll form a gap that causes the stringing. Make sure when you insert the ptfe tube into it again you turn the temp up just in case you missed any residue.",,https://www.youtube.com/watch?v=8VmlZniuSa4
19,1,0,Wet filament,,,Wet filament,"Could also be moisture in your filament, if it's not new maybe look into drying it. Every time I've started to get even a little bit of stringing issues I'll toss my filament in a dehydrator for a few hours and my problems are solved until it happens again. Otherwise, try a fresh roll of filament instead.",https://all3dp.com/2/how-to-dry-filament-pla-abs-and-nylon/,
20,1,0,Wipe distance,8,I am using Cura for slicing.,Wipe distance,Try increasing wipe distance to about 1mm.,https://all3dp.com/2/cura-retraction-settings-how-to-avoid-stringing/,
